Data,Open,High,Low,Close,BTC-USD,SMA50,SMA200,RSI,ATR,Volume,VolumeAvg20,Azione,Livello_Rischio
2016-04-27,470.3,470.79,434.0,445.31,445.31,425.4314,392.40275,54.75331197481537,10.014461960535398,11629.49770098,5991.863789252,ACQUISTA,BASSO
2016-04-28,445.3,451.88,434.79,451.68,451.68,426.209,393.41605000000004,58.48486985386605,10.519857534782867,7644.69210461,6052.1995967249995,MANTIENI STATO ATTUALE,BASSO
2016-04-29,451.67,459.44,448.5,458.82,458.82,427.0658,394.4782,62.24357072870094,10.549867710869806,5965.09735013,6174.455008657,MANTIENI STATO ATTUALE,MEDIO
2016-04-30,458.8,459.33,450.13,454.02,454.02,427.75840000000005,395.49334999999996,58.41461298112429,10.45344858866482,4710.2895045,6260.467651664,MANTIENI STATO ATTUALE,BASSO
2016-05-01,454.02,457.07,451.55,456.98,456.98,428.6864,396.5119,60.04681040591358,10.101059403760189,2941.67587876,6152.8905330215,MANTIENI STATO ATTUALE,MEDIO
2016-05-02,456.98,457.63,440.02,446.42,446.42,429.36439999999993,397.46905,52.17851674016586,10.637412303491606,7694.20823194,6187.747765715,MANTIENI STATO ATTUALE,BASSO
2016-05-03,446.53,453.29,443.61,452.21,452.21,430.1082,398.41294999999997,55.61288502055988,10.569025710385064,5892.48138372,6188.118077663,MANTIENI STATO ATTUALE,BASSO
2016-05-04,452.21,453.23,446.76,448.68,448.68,430.7736,399.292,53.10867849965693,10.276238159643277,4883.54001476,6195.683742313499,MANTIENI STATO ATTUALE,BASSO
2016-05-05,448.59,451.56,447.0,449.98,449.98,431.4518,400.2169,53.931400399088034,9.867935433954472,5336.21991152,6253.2942683535,MANTIENI STATO ATTUALE,BASSO
2016-05-06,449.99,463.73,448.84,462.31,462.31,432.3298,401.2026,60.9326962822849,10.226654331529156,6193.77720515,6356.28382927,MANTIENI STATO ATTUALE,MEDIO
2016-05-07,462.31,464.0,459.55,461.91,461.91,433.375,402.15644999999995,60.61088177248063,9.814036164991357,3463.8802064,6364.4911416915,MANTIENI STATO ATTUALE,MEDIO
2016-05-08,461.91,465.0,457.5,462.79,462.79,434.4268,403.12655,61.09766793688705,9.648747867491975,3275.57794242,6264.4039785095,MANTIENI STATO ATTUALE,MEDIO
2016-05-09,462.6,465.9,459.41,464.16,464.16,435.4846,404.06815,61.88735252751261,9.423123019813975,5882.94056987,6247.2207428525,MANTIENI STATO ATTUALE,MEDIO
