variant,description,period,start,end,strategy_total_return,strategy_annualized_return,strategy_max_drawdown,strategy_sharpe,strategy_operations,strategy_win_rate,buy_hold_total_return,buy_hold_max_drawdown,delta_total_return,drawdown_improvement
sma50_2d_or_sma80_2d,Regola attuale oppure Close sotto SMA80 per 2 giorni,2017_bull,2017-01-01,2017-12-31,7.040617501753985,7.086795517493314,-0.35508101939187375,2.8641274835685007,4,0.75,13.180151972080678,-0.3550810193918734,-6.1395344703266925,-3.3306690738754696e-16
sma50_2d_or_sma80_2d,Regola attuale oppure Close sotto SMA80 per 2 giorni,2018_bear,2018-01-01,2018-12-31,-0.1037617676336946,-0.10403145786576151,-0.23513437526744452,-0.4588199884155443,1,0.0,-0.7259540472477137,-0.8153271113852912,0.6221922796140191,0.5801927361178467
sma50_2d_or_sma80_2d,Regola attuale oppure Close sotto SMA80 per 2 giorni,2021_top,2021-01-01,2021-12-31,1.0688051897085487,1.0729410817579335,-0.254060535869327,1.6528825156253166,3,0.6666666666666666,0.5764351178750771,-0.5306185040984175,0.4923700718334716,0.2765579682290905
sma50_2d_or_sma80_2d,Regola attuale oppure Close sotto SMA80 per 2 giorni,2022_bear,2022-01-01,2022-12-31,0.0,0.0,0.0,,0,0.0,-0.6529963898562102,-0.6689381539248928,0.6529963898562102,0.6689381539248928
sma50_2d_or_sma80_2d,Regola attuale oppure Close sotto SMA80 per 2 giorni,2024_2026_recent,2024-01-01,2026-06-23,0.3431534199749344,0.12650244143649303,-0.2912444170297097,0.5519647900306996,13,0.23076923076923078,0.4188771802405924,-0.5120947570953596,-0.07572376026565797,0.22085034006564985
sma50_2d_or_sma80_2d,Regola attuale oppure Close sotto SMA80 per 2 giorni,2025_2026_recent,2025-01-01,2026-06-23,-0.2094930906670166,-0.14741976667665957,-0.2094930906670166,-0.8583569350235046,6,0.16666666666666666,-0.3362827761569037,-0.5120947570953596,0.12678968548988712,0.30260166642834296
sma50_2d_or_sma90_2d,Regola attuale oppure Close sotto SMA90 per 2 giorni,full,2015-01-01,2026-06-23,446.17837038854753,0.7015081994910553,-0.40553906253629957,1.4655102167989755,38,0.47368421052631576,198.42154451778723,-0.8339900882218974,247.7568258707603,0.4284510256855978
sma50_2d_or_sma90_2d,Regola attuale oppure Close sotto SMA90 per 2 giorni,2017_bull,2017-01-01,2017-12-31,7.040617501753985,7.086795517493314,-0.35508101939187375,2.8641274835685007,4,0.75,13.180151972080678,-0.3550810193918734,-6.1395344703266925,-3.3306690738754696e-16
sma50_2d_or_sma90_2d,Regola attuale oppure Close sotto SMA90 per 2 giorni,2018_bear,2018-01-01,2018-12-31,-0.1037617676336946,-0.10403145786576151,-0.23513437526744452,-0.4588199884155443,1,0.0,-0.7259540472477137,-0.8153271113852912,0.6221922796140191,0.5801927361178467
sma50_2d_or_sma90_2d,Regola attuale oppure Close sotto SMA90 per 2 giorni,2021_top,2021-01-01,2021-12-31,1.0688051897085487,1.0729410817579335,-0.254060535869327,1.6528825156253166,3,0.6666666666666666,0.5764351178750771,-0.5306185040984175,0.4923700718334716,0.2765579682290905
sma50_2d_or_sma90_2d,Regola attuale oppure Close sotto SMA90 per 2 giorni,2022_bear,2022-01-01,2022-12-31,0.0,0.0,0.0,,0,0.0,-0.6529963898562102,-0.6689381539248928,0.6529963898562102,0.6689381539248928
sma50_2d_or_sma90_2d,Regola attuale oppure Close sotto SMA90 per 2 giorni,2024_2026_recent,2024-01-01,2026-06-23,0.3431534199749344,0.12650244143649303,-0.2912444170297097,0.5519647900306996,13,0.23076923076923078,0.4188771802405924,-0.5120947570953596,-0.07572376026565797,0.22085034006564985
